time_boot_ms,time_boot_s,luminosity
682220,682.22,0
682350,682.35,0
682490,682.49,0
682620,682.62,0
682750,682.75,0
682880,682.88,0
683010,683.01,0
683290,683.29,0
683420,683.42,0
683550,683.55,0
683690,683.69,0
683830,683.83,0
683960,683.96,0
684090,684.09,0
684220,684.22,0
684350,684.35,0
684490,684.49,0
684620,684.62,0
684770,684.77,0
684900,684.9,0
685060,685.06,0
685200,685.2,0
685330,685.33,0
685460,685.46,0
685590,685.59,0
685720,685.72,0
685850,685.85,0
685980,685.98,0
686110,686.11,0
686240,686.24,0
686370,686.37,0
686510,686.51,0
686640,686.64,0
686790,686.79,0
686920,686.92,0
687050,687.05,0
687180,687.18,0
687310,687.31,0
687440,687.44,0
687570,687.57,0
687700,687.7,0
687850,687.85,0
687980,687.98,0
688110,688.11,0
688240,688.24,0
688370,688.37,0
688520,688.52,0
688650,688.65,0
688790,688.79,0
688920,688.92,0
689060,689.06,0
689200,689.2,0
689340,689.34,0
689470,689.47,0
689600,689.6,0
689730,689.73,0
689870,689.87,0
690000,690,0
690130,690.13,0
690270,690.27,0
690400,690.4,0
690540,690.54,0
690670,690.67,0
690800,690.8,0
690930,690.93,0
691060,691.06,0
691190,691.19,0
691320,691.32,0
691480,691.48,0
691610,691.61,0
691740,691.74,0
691880,691.88,0
692040,692.04,0
692170,692.17,0
692300,692.3,0
692430,692.43,0
692560,692.56,0
692690,692.69,0
692820,692.82,0
692950,692.95,0
693080,693.08,0
693220,693.22,0
693360,693.36,0
693490,693.49,0
693630,693.63,0
693770,693.77,0
693900,693.9,0
694040,694.04,0
694170,694.17,0
694300,694.3,0
694430,694.43,0
694570,694.57,0
694700,694.7,0
694830,694.83,0
694960,694.96,0
695090,695.09,0
695220,695.22,0
695350,695.35,0
695480,695.48,0
695630,695.63,0
695770,695.77,0
695910,695.91,0
696040,696.04,0
696170,696.17,0
696300,696.3,0
696430,696.43,0
696560,696.56,0
696690,696.69,0
697020,697.02,0
697150,697.15,0
697280,697.28,0
697420,697.42,0
697550,697.55,0
697680,697.68,0
697810,697.81,0
697940,697.94,0
698070,698.07,0
698200,698.2,0
698340,698.34,0
698490,698.49,0
698620,698.62,0
698770,698.77,0
698900,698.9,0
699030,699.03,0
699160,699.16,0
699320,699.32,0
699450,699.45,0
699590,699.59,0
699720,699.72,0
699850,699.85,0
699990,699.99,0
700130,700.13,0
700260,700.26,0
700400,700.4,0
700540,700.54,0
700670,700.67,0
700800,700.8,0
700930,700.93,0
701060,701.06,0
701190,701.19,0
701320,701.32,0
701460,701.46,0
701590,701.59,0
701720,701.72,0
701850,701.85,0
701990,701.99,0
702120,702.12,0
702250,702.25,0
703000,703,0
703130,703.13,0
703260,703.26,0
703390,703.39,0
703530,703.53,0
703660,703.66,0
703790,703.79,0
703920,703.92,0
704050,704.05,0
704190,704.19,0
704320,704.32,0
704450,704.45,0
704580,704.58,0
704720,704.72,0
704850,704.85,0
704990,704.99,0
705120,705.12,0
705250,705.25,0
705380,705.38,0
705520,705.52,0
705650,705.65,0
705780,705.78,0
705910,705.91,0
706040,706.04,0
706200,706.2,0
706330,706.33,0
706470,706.47,0
706600,706.6,0
706730,706.73,0
706870,706.87,0
707000,707,0
707130,707.13,0
707270,707.27,0
707400,707.4,0
707530,707.53,0
707660,707.66,0
707790,707.79,0
707920,707.92,0
708050,708.05,0
708200,708.2,0
708330,708.33,0
708470,708.47,0
708600,708.6,0
708730,708.73,0
708860,708.86,0
709000,709,0
709130,709.13,0
709260,709.26,0
709390,709.39,0
709550,709.55,0
709710,709.71,0
709840,709.84,0
709980,709.98,0
710110,710.11,0
710240,710.24,0
710370,710.37,0
710500,710.5,0
710630,710.63,0
710770,710.77,0
710910,710.91,0
711040,711.04,0
711170,711.17,0
711300,711.3,0
711430,711.43,0
711570,711.57,0
711700,711.7,0
711830,711.83,0
711970,711.97,0
712100,712.1,0
712240,712.24,0
712370,712.37,0
712500,712.5,0
712630,712.63,0
712760,712.76,0
712910,712.91,0
713040,713.04,0
713170,713.17,0
713340,713.34,0
713490,713.49,0
713630,713.63,0
713760,713.76,0
713890,713.89,0
714020,714.02,0
714160,714.16,0
714290,714.29,0
714420,714.42,0
714550,714.55,0
714680,714.68,0
714810,714.81,0
714950,714.95,0
715080,715.08,0
715210,715.21,0
715340,715.34,0
715490,715.49,0
715620,715.62,0
715750,715.75,0
715880,715.88,0
716010,716.01,0
716140,716.14,0
716280,716.28,0
716410,716.41,0
716550,716.55,0
716710,716.71,0
716840,716.84,0
716990,716.99,0
717120,717.12,0
717250,717.25,0
717380,717.38,0
717530,717.53,0
717670,717.67,0
717800,717.8,0
717930,717.93,0
718060,718.06,0
718190,718.19,0
718320,718.32,0
718450,718.45,0
718580,718.58,0
718710,718.71,0
718840,718.84,0
719000,719,0
719130,719.13,0
719260,719.26,0
719400,719.4,0
719530,719.53,0
719660,719.66,0
719790,719.79,0
719920,719.92,0
720050,720.05,0
720210,720.21,0
720350,720.35,0
720490,720.49,0
720620,720.62,0
720750,720.75,0
720880,720.88,0
721010,721.01,0
721150,721.15,0
721280,721.28,0
721410,721.41,0
721540,721.54,0
721690,721.69,0
721820,721.82,0
721960,721.96,0
722090,722.09,0
722230,722.23,0
722360,722.36,0
722490,722.49,0
722620,722.62,0
722750,722.75,0
722880,722.88,0
723020,723.02,0
723150,723.15,0
723280,723.28,0
723410,723.41,0
723540,723.54,0
723700,723.7,0
723830,723.83,0
723970,723.97,0
724100,724.1,0
724230,724.23,0
724370,724.37,0
724500,724.5,0
724630,724.63,0
724760,724.76,0
724890,724.89,0
725020,725.02,0
725150,725.15,0
725280,725.28,0
725420,725.42,0
725550,725.55,0
725700,725.7,0
725830,725.83,0
725980,725.98,0
726110,726.11,0
726240,726.24,0
726370,726.37,0
